Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,Population,AQI value country,AQI category (country)
India,Mount Abu,167,Unhealthy,1,Good,30,Good,0,Good,167,Unhealthy,1417173173,152.5597283,Unhealthy
Russian Federation,Mozdok,74,Moderate,1,Good,44,Good,0,Good,74,Moderate,145805947,42.49115756,Good
Russian Federation,Mozhga,54,Moderate,1,Good,36,Good,0,Good,54,Moderate,145805947,42.49115756,Good
India,Muddebihal,129,Unhealthy for Sensitive Groups,1,Good,35,Good,1,Good,129,Unhealthy for Sensitive Groups,1417173173,152.5597283,Unhealthy
United Republic of Tanzania,Muheza,27,Good,0,Good,19,Good,0,Good,27,Good,67738000,31.65367965,Good
Zambia,Mumbwa,76,Moderate,2,Good,17,Good,1,Good,76,Moderate,19000000,40.66666667,Good
India,Mundgod,26,Good,1,Good,26,Good,1,Good,22,Good,1417173173,152.5597283,Unhealthy
Indonesia,Muntilan,71,Moderate,1,Good,37,Good,1,Good,71,Moderate,276361783,91.54822335,Moderate
Russian Federation,Murom,37,Good,1,Good,35,Good,0,Good,37,Good,145805947,42.49115756,Good
India,Murshidabad,86,Moderate,2,Good,46,Good,3,Good,86,Moderate,1417173173,152.5597283,Unhealthy
Switzerland,Muttenz,63,Moderate,1,Good,29,Good,3,Good,63,Moderate,8799000,55.21551724,Moderate
India,Muttupet,61,Moderate,1,Good,37,Good,0,Good,61,Moderate,1417173173,152.5597283,Unhealthy
United Republic of Tanzania,Mvomero,32,Good,1,Good,16,Good,0,Good,32,Good,67738000,31.65367965,Good
Tunisia,Naftah,89,Moderate,1,Good,43,Good,0,Good,89,Moderate,12356000,70.90909091,Moderate
Japan,Namie,54,Moderate,1,Good,53,Moderate,1,Good,54,Moderate,123294513,51.57201646,Moderate
France,Nancy,63,Moderate,1,Good,32,Good,1,Good,63,Moderate,67842000,53.23133415,Moderate
India,Nangal,152,Unhealthy,3,Good,143,Unhealthy for Sensitive Groups,1,Good,152,Unhealthy,1417173173,152.5597283,Unhealthy
France,Chaumont,58,Moderate,1,Good,30,Good,2,Good,58,Moderate,67842000,53.23133415,Moderate
Russian Federation,Chernyshevsk,33,Good,1,Good,33,Good,0,Good,9,Good,145805947,42.49115756,Good
France,Chevilly Larue,72,Moderate,2,Good,20,Good,6,Good,72,Moderate,67842000,53.23133415,Moderate
United States of America,Chicago Ridge,41,Good,2,Good,33,Good,8,Good,41,Good,332915073,59.61860625,Moderate
United States of America,Chico,48,Good,1,Good,20,Good,8,Good,48,Good,332915073,59.61860625,Moderate
India,Chikmagalur,25,Good,0,Good,20,Good,0,Good,25,Good,1417173173,152.5597283,Unhealthy
Japan,Chiryu,56,Moderate,2,Good,49,Good,3,Good,56,Moderate,123294513,51.57201646,Moderate
India,Chittaurgarh,207,Very Unhealthy,1,Good,35,Good,0,Good,207,Very Unhealthy,1417173173,152.5597283,Unhealthy
Zambia,Choma,37,Good,1,Good,21,Good,0,Good,37,Good,19000000,40.66666667,Good
Peru,Chosica,179,Unhealthy,9,Good,5,Good,25,Good,179,Unhealthy,34295000,36.3875969,Good
India,Churhat,191,Unhealthy,2,Good,82,Moderate,2,Good,191,Unhealthy,1417173173,152.5597283,Unhealthy
United States of America,Cicero,50,Good,2,Good,33,Good,9,Good,50,Good,332915073,59.61860625,Moderate
Indonesia,Ciparay,91,Moderate,2,Good,52,Moderate,1,Good,91,Moderate,276361783,91.54822335,Moderate
Italy,Ciro Marina,61,Moderate,1,Good,49,Good,1,Good,61,Moderate,60367477,61.69844358,Moderate
France,Claye Souilly,66,Moderate,1,Good,21,Good,5,Good,66,Moderate,67842000,53.23133415,Moderate
United States of America,Commerce City,55,Moderate,1,Good,10,Good,13,Good,55,Moderate,332915073,59.61860625,Moderate
Belgium,Aarschot,44,Good,1,Good,29,Good,3,Good,44,Good,11736000,44.58098592,Good
Japan,Abashiri,35,Good,1,Good,35,Good,0,Good,29,Good,123294513,51.57201646,Moderate
United States of America,Abington,63,Moderate,2,Good,18,Good,16,Good,63,Moderate,332915073,59.61860625,Moderate
Sudan,Abu Zabad,59,Moderate,2,Good,11,Good,0,Good,59,Moderate,47000000,78.85714286,Moderate
Italy,Adrano,50,Good,1,Good,32,Good,2,Good,50,Good,60367477,61.69844358,Moderate
Germany,Aerzen,35,Good,1,Good,35,Good,1,Good,34,Good,83237000,48.24684015,Good
United States of America,Agawam,66,Moderate,2,Good,10,Good,17,Good,66,Moderate,332915073,59.61860625,Moderate
Italy,Agliana,80,Moderate,1,Good,39,Good,4,Good,80,Moderate,60367477,61.69844358,Moderate
India,Akalkot,86,Moderate,0,Good,26,Good,0,Good,86,Moderate,1417173173,152.5597283,Unhealthy
Turkey,Akcakoca,50,Good,1,Good,32,Good,0,Good,50,Good,87849000,51.59109312,Moderate
Turkmenistan,Akdepe,57,Moderate,1,Good,43,Good,0,Good,57,Moderate,5636011,104.7222222,Unhealthy for Sensitive Groups
Turkey,Akhisar,64,Moderate,1,Good,38,Good,1,Good,64,Moderate,87849000,51.59109312,Moderate
United States of America,Albany,41,Good,1,Good,15,Good,8,Good,41,Good,332915073,59.61860625,Moderate
United States of America,Albuquerque,63,Moderate,1,Good,30,Good,4,Good,63,Moderate,332915073,59.61860625,Moderate
Spain,Alcala La Real,31,Good,1,Good,18,Good,2,Good,31,Good,47300000,38.67356322,Good
Spain,Alcudia,101,Unhealthy for Sensitive Groups,1,Good,49,Good,1,Good,101,Unhealthy for Sensitive Groups,47300000,38.67356322,Good
Germany,Alfter,58,Moderate,1,Good,30,Good,4,Good,58,Moderate,83237000,48.24684015,Good
Portugal,Alges,39,Good,1,Good,39,Good,3,Good,17,Good,10196000,34.56707317,Good
Uzbekistan,Almazar,88,Moderate,1,Good,48,Good,1,Good,88,Moderate,31000000,119.0862069,Unhealthy for Sensitive Groups
Portugal,Canecas,37,Good,1,Good,37,Good,4,Good,17,Good,10196000,34.56707317,Good
United States of America,Canyon Lake,66,Moderate,2,Good,5,Good,19,Good,66,Moderate,332915073,59.61860625,Moderate
Italy,Cardito,63,Moderate,1,Good,63,Moderate,3,Good,58,Moderate,60367477,61.69844358,Moderate
Italy,Casale Monferrato,75,Moderate,2,Good,29,Good,8,Good,75,Moderate,60367477,61.69844358,Moderate
Peru,Casma,27,Good,0,Good,19,Good,0,Good,27,Good,34295000,36.3875969,Good
Italy,Castellaneta,57,Moderate,1,Good,44,Good,2,Good,57,Moderate,60367477,61.69844358,Moderate
Italy,Castiglione Delle Stiviere,79,Moderate,2,Good,28,Good,7,Good,79,Moderate,60367477,61.69844358,Moderate
Chile,Castro,18,Good,0,Good,18,Good,1,Good,10,Good,19000000,86.44578313,Moderate
Peru,Catacaos,43,Good,1,Good,19,Good,1,Good,43,Good,34295000,36.3875969,Good
United States of America,Catonsville,59,Moderate,1,Good,46,Good,4,Good,59,Moderate,332915073,59.61860625,Moderate
Italy,Ceglie Messapica,54,Moderate,1,Good,50,Good,2,Good,54,Moderate,60367477,61.69844358,Moderate
United States of America,Celina,39,Good,1,Good,29,Good,6,Good,39,Good,332915073,59.61860625,Moderate
Italy,Cerreto Guidi,67,Moderate,1,Good,47,Good,3,Good,67,Moderate,60367477,61.69844358,Moderate
United Republic of Tanzania,Chala,18,Good,0,Good,18,Good,0,Good,11,Good,67738000,31.65367965,Good
Pakistan,Chambar,172,Unhealthy,1,Good,43,Good,0,Good,172,Unhealthy,240485658,178.7045455,Unhealthy
United States of America,Champaign,55,Moderate,1,Good,26,Good,7,Good,55,Moderate,332915073,59.61860625,Moderate
Mauritius,Baie Du Tombeau,32,Good,0,Good,27,Good,0,Good,32,Good,1300000,41,Good
China,Baisha,158,Unhealthy,3,Good,158,Unhealthy,2,Good,113,Unhealthy for Sensitive Groups,1412600000,127.1339174,Unhealthy for Sensitive Groups
United States of America,Baker,71,Moderate,1,Good,13,Good,7,Good,71,Moderate,332915073,59.61860625,Moderate
Russian Federation,Balashikha,128,Unhealthy for Sensitive Groups,4,Good,9,Good,36,Good,128,Unhealthy for Sensitive Groups,145805947,42.49115756,Good
United States of America,Ballwin,51,Moderate,1,Good,42,Good,3,Good,51,Moderate,332915073,59.61860625,Moderate
Malaysia,Bandar Maharani,75,Moderate,1,Good,31,Good,0,Good,75,Moderate,34000000,80.72262774,Moderate
Thailand,Bang Kruai,59,Moderate,1,Good,23,Good,1,Good,59,Moderate,70927000,53.56972112,Moderate
Thailand,Bang Len,45,Good,1,Good,26,Good,1,Good,45,Good,70927000,53.56972112,Moderate
Brazil,Barueri,170,Unhealthy,6,Good,1,Good,20,Good,170,Unhealthy,214326223,44.64993726,Good
Ukraine,Bashtanka,40,Good,1,Good,40,Good,0,Good,18,Good,43000000,51.03181818,Moderate
Italy,Bassano Del Grappa,62,Moderate,2,Good,38,Good,4,Good,62,Moderate,60367477,61.69844358,Moderate
Sri Lanka,Battaramulla,66,Moderate,0,Good,23,Good,0,Good,66,Moderate,23000000,63.14583333,Moderate
United States of America,Bayonne,107,Unhealthy for Sensitive Groups,3,Good,16,Good,26,Good,107,Unhealthy for Sensitive Groups,332915073,59.61860625,Moderate
Russian Federation,Bazhovo,34,Good,1,Good,34,Good,1,Good,21,Good,145805947,42.49115756,Good
Malaysia,Beaufort,63,Moderate,6,Good,36,Good,0,Good,63,Moderate,34000000,80.72262774,Moderate
United States of America,Broomfield,52,Moderate,1,Good,14,Good,11,Good,52,Moderate,332915073,59.61860625,Moderate
Czechia,Bruntal,96,Moderate,1,Good,36,Good,2,Good,96,Moderate,10700000,60.90551181,Moderate
Germany,Budingen,65,Moderate,1,Good,41,Good,2,Good,65,Moderate,83237000,48.24684015,Good
Philippines,Buenlag,58,Moderate,0,Good,23,Good,1,Good,58,Moderate,114337000,60.52974504,Moderate
Romania,Buftea,39,Good,1,Good,39,Good,2,Good,38,Good,19053000,53.85849057,Moderate
Romania,Bumbesti Jiu,38,Good,1,Good,38,Good,0,Good,19,Good,19053000,53.85849057,Moderate
United Kingdom of Great Britain and Northern Ireland,Burnley,62,Moderate,1,Good,14,Good,11,Good,62,Moderate,67532000,39.5971897,Good
Germany,Burstadt,57,Moderate,1,Good,43,Good,2,Good,57,Moderate,83237000,48.24684015,Good
Russian Federation,Buzuluk,56,Moderate,1,Good,37,Good,0,Good,56,Moderate,145805947,42.49115756,Good
Viet Nam,Ca Mau,50,Good,1,Good,33,Good,0,Good,50,Good,99711000,86.63492063,Moderate
Philippines,Cabayangan,30,Good,0,Good,15,Good,0,Good,30,Good,114337000,60.52974504,Moderate
Brazil,Cabo Frio,50,Good,1,Good,24,Good,2,Good,50,Good,214326223,44.64993726,Good
Philippines,Cadiz,54,Moderate,1,Good,23,Good,0,Good,54,Moderate,114337000,60.52974504,Moderate
Brazil,Caieiras,165,Unhealthy,6,Good,1,Good,19,Good,165,Unhealthy,214326223,44.64993726,Good
Peru,Cajabamba,27,Good,1,Good,4,Good,0,Good,27,Good,34295000,36.3875969,Good
Brazil,Camaqua,35,Good,1,Good,18,Good,1,Good,35,Good,214326223,44.64993726,Good
Brazil,Camaragibe,37,Good,0,Good,19,Good,1,Good,37,Good,214326223,44.64993726,Good
United States of America,Camarillo,51,Moderate,2,Good,29,Good,12,Good,51,Moderate,332915073,59.61860625,Moderate
United Kingdom of Great Britain and Northern Ireland,Cambridge,30,Good,1,Good,30,Good,3,Good,14,Good,67532000,39.5971897,Good
Brazil,Campo Formoso,16,Good,0,Good,13,Good,0,Good,16,Good,214326223,44.64993726,Good
Guatemala,Colomba,103,Unhealthy for Sensitive Groups,3,Good,6,Good,13,Good,103,Unhealthy for Sensitive Groups,20318000,80.95041322,Moderate
Brazil,Conselheiro Pena,48,Good,1,Good,4,Good,2,Good,48,Good,214326223,44.64993726,Good
Chile,Coquimbo,29,Good,0,Good,29,Good,0,Good,20,Good,19000000,86.44578313,Moderate
Romania,Costesti,39,Good,1,Good,39,Good,1,Good,20,Good,19053000,53.85849057,Moderate
Germany,Crailsheim,50,Good,1,Good,41,Good,3,Good,50,Good,83237000,48.24684015,Good
Italy,Crispiano,58,Moderate,1,Good,47,Good,2,Good,58,Moderate,60367477,61.69844358,Moderate
Brazil,Cruzeiro Do Oeste,50,Good,1,Good,14,Good,1,Good,50,Good,214326223,44.64993726,Good
Venezuela (Bolivarian Republic of),Cua,56,Moderate,1,Good,13,Good,9,Good,56,Moderate,30000000,77.23076923,Moderate
Dominican Republic,Dajabon,94,Moderate,3,Good,6,Good,11,Good,94,Moderate,11000000,108.5365854,Unhealthy for Sensitive Groups
United States of America,Teaneck,53,Moderate,1,Good,40,Good,4,Good,53,Moderate,332915073,59.61860625,Moderate
Indonesia,Tegal,149,Unhealthy for Sensitive Groups,4,Good,25,Good,9,Good,149,Unhealthy for Sensitive Groups,276361783,91.54822335,Moderate
India,Tekanpur,168,Unhealthy,4,Good,45,Good,6,Good,168,Unhealthy,1417173173,152.5597283,Unhealthy
Kazakhstan,Tekeli,51,Moderate,1,Good,18,Good,1,Good,51,Moderate,19632700,61.21126761,Moderate
Brazil,Terra Boa,30,Good,1,Good,16,Good,0,Good,30,Good,214326223,44.64993726,Good
Mexico,Texcoco,320,Hazardous,5,Good,26,Good,10,Good,320,Hazardous,126190788,89.11260504,Moderate
Pakistan,Thatta,117,Unhealthy for Sensitive Groups,1,Good,20,Good,2,Good,117,Unhealthy for Sensitive Groups,240485658,178.7045455,Unhealthy
Colombia,Tibu,68,Moderate,1,Good,32,Good,0,Good,68,Moderate,52015000,65.90079365,Moderate
Brazil,Timbauba,25,Good,0,Good,25,Good,0,Good,20,Good,214326223,44.64993726,Good
Guatemala,Tiquisate,86,Moderate,2,Good,38,Good,2,Good,86,Moderate,20318000,80.95041322,Moderate
India,Tiruchchirappalli,121,Unhealthy for Sensitive Groups,3,Good,26,Good,6,Good,121,Unhealthy for Sensitive Groups,1417173173,152.5597283,Unhealthy
United States of America,Titusville,93,Moderate,1,Good,93,Moderate,1,Good,27,Good,332915073,59.61860625,Moderate
Mexico,Tlaxcoapan,151,Unhealthy,1,Good,32,Good,2,Good,151,Unhealthy,126190788,89.11260504,Moderate
Japan,Togitsu,38,Good,1,Good,36,Good,7,Good,38,Good,123294513,51.57201646,Moderate
Japan,Tokyo,79,Moderate,1,Good,28,Good,17,Good,79,Moderate,123294513,51.57201646,Moderate
Japan,Tomioka,67,Moderate,2,Good,10,Good,11,Good,67,Moderate,123294513,51.57201646,Moderate
Spain,Torremolinos,42,Good,1,Good,42,Good,0,Good,30,Good,47300000,38.67356322,Good
China,Toufen,155,Unhealthy,5,Good,34,Good,36,Good,155,Unhealthy,1412600000,127.1339174,Unhealthy for Sensitive Groups
Italy,Triggiano,60,Moderate,1,Good,52,Moderate,0,Good,60,Moderate,60367477,61.69844358,Moderate
Madagascar,Tsihombe,27,Good,0,Good,27,Good,0,Good,26,Good,29000000,30.93939394,Good
Indonesia,Tuban,61,Moderate,1,Good,15,Good,3,Good,61,Moderate,276361783,91.54822335,Moderate
Mexico,Tultitlan,199,Unhealthy,2,Good,38,Good,5,Good,199,Unhealthy,126190788,89.11260504,Moderate
China,Tungkang,53,Moderate,1,Good,19,Good,11,Good,53,Moderate,1412600000,127.1339174,Unhealthy for Sensitive Groups
India,Tuni,93,Moderate,3,Good,40,Good,2,Good,93,Moderate,1417173173,152.5597283,Unhealthy
Brazil,Tupi Paulista,51,Moderate,1,Good,28,Good,0,Good,51,Moderate,214326223,44.64993726,Good
India,Tura,75,Moderate,2,Good,23,Good,4,Good,75,Moderate,1417173173,152.5597283,Unhealthy
Belgium,Turnhout,46,Good,1,Good,39,Good,1,Good,46,Good,11736000,44.58098592,Good
Germany,Uelzen,44,Good,1,Good,44,Good,0,Good,24,Good,83237000,48.24684015,Good
United Republic of Tanzania,Uvinza,37,Good,1,Good,28,Good,0,Good,37,Good,67738000,31.65367965,Good
Latvia,Valga,33,Good,1,Good,33,Good,0,Good,13,Good,1758000,39.65217391,Good
India,Varangaon,151,Unhealthy,2,Good,27,Good,6,Good,151,Unhealthy,1417173173,152.5597283,Unhealthy
Brazil,Vargem Grande,41,Good,0,Good,17,Good,0,Good,41,Good,214326223,44.64993726,Good
Serbia,Velika Plana,58,Moderate,1,Good,58,Moderate,0,Good,57,Moderate,7000000,67.98876404,Moderate
Netherlands,Velsen,38,Good,1,Good,38,Good,0,Good,34,Good,17442000,38.15282392,Good
Netherlands,Venlo,50,Good,1,Good,37,Good,1,Good,50,Good,17442000,38.15282392,Good
Mexico,Venustiano Carranza,46,Good,1,Good,29,Good,0,Good,46,Good,126190788,89.11260504,Moderate
Argentina,Viedma,23,Good,0,Good,16,Good,0,Good,23,Good,46000000,28.23529412,Good
Russian Federation,Engels,40,Good,1,Good,40,Good,1,Good,28,Good,145805947,42.49115756,Good
United States of America,Enid,49,Good,1,Good,45,Good,1,Good,49,Good,332915073,59.61860625,Moderate
India,Erattupetta,96,Moderate,2,Good,16,Good,5,Good,96,Moderate,1417173173,152.5597283,Unhealthy
Kazakhstan,Esil,80,Moderate,1,Good,27,Good,0,Good,80,Moderate,19632700,61.21126761,Moderate
Brazil,Esperanca,24,Good,0,Good,24,Good,0,Good,19,Good,214326223,44.64993726,Good
Brazil,Espinosa,23,Good,0,Good,23,Good,0,Good,18,Good,214326223,44.64993726,Good
Peru,Eten,50,Good,0,Good,24,Good,0,Good,50,Good,34295000,36.3875969,Good
United States of America,Excelsior Springs,56,Moderate,1,Good,47,Good,2,Good,56,Moderate,332915073,59.61860625,Moderate
United Kingdom of Great Britain and Northern Ireland,Falkirk,37,Good,1,Good,37,Good,1,Good,35,Good,67532000,39.5971897,Good
China,Fengxian,151,Unhealthy,6,Good,101,Unhealthy for Sensitive Groups,15,Good,151,Unhealthy,1412600000,127.1339174,Unhealthy for Sensitive Groups
United States of America,Ferry Pass,86,Moderate,2,Good,86,Moderate,1,Good,39,Good,332915073,59.61860625,Moderate
Madagascar,Fianarantsoa,47,Good,1,Good,17,Good,0,Good,47,Good,29000000,30.93939394,Good
Ethiopia,Fiche,68,Moderate,1,Good,27,Good,0,Good,68,Moderate,126527000,78.73170732,Moderate
Italy,Foggia,62,Moderate,1,Good,62,Moderate,0,Good,54,Moderate,60367477,61.69844358,Moderate
France,Fontenay Sous Bois,70,Moderate,1,Good,46,Good,1,Good,70,Moderate,67842000,53.23133415,Moderate
Cameroon,Foumban,40,Good,1,Good,15,Good,0,Good,40,Good,28524000,69.015625,Moderate
United States of America,Fountain Valley,63,Moderate,2,Good,27,Good,13,Good,63,Moderate,332915073,59.61860625,Moderate
United States of America,Franklin,48,Good,1,Good,43,Good,1,Good,48,Good,332915073,59.61860625,Moderate
Japan,Fukiage,83,Moderate,2,Good,18,Good,18,Good,83,Moderate,123294513,51.57201646,Moderate
Japan,Fukue,46,Good,1,Good,46,Good,1,Good,46,Good,123294513,51.57201646,Moderate
United States of America,Galion,47,Good,1,Good,37,Good,2,Good,47,Good,332915073,59.61860625,Moderate
China,Gaozhou,125,Unhealthy for Sensitive Groups,3,Good,13,Good,20,Good,125,Unhealthy for Sensitive Groups,1412600000,127.1339174,Unhealthy for Sensitive Groups
Burkina Faso,Garango,54,Moderate,1,Good,25,Good,0,Good,54,Moderate,22000000,51.58823529,Moderate
France,Garches,72,Moderate,1,Good,43,Good,2,Good,72,Moderate,67842000,53.23133415,Moderate
United States of America,Garden City,58,Moderate,1,Good,46,Good,5,Good,58,Moderate,332915073,59.61860625,Moderate
United States of America,Gardena,100,Unhealthy for Sensitive Groups,3,Good,17,Good,23,Good,100,Unhealthy for Sensitive Groups,332915073,59.61860625,Moderate
Brazil,Garibaldi,29,Good,0,Good,19,Good,0,Good,29,Good,214326223,44.64993726,Good
Colombia,Garzon,15,Good,1,Good,6,Good,0,Good,15,Good,52015000,65.90079365,Moderate
Indonesia,Gebog,161,Unhealthy,5,Good,2,Good,22,Good,161,Unhealthy,276361783,91.54822335,Moderate
Belgium,Gembloux,55,Moderate,1,Good,41,Good,1,Good,55,Moderate,11736000,44.58098592,Good
Netherlands,Gendringen,40,Good,1,Good,38,Good,0,Good,40,Good,17442000,38.15282392,Good
Russian Federation,Georgievsk,43,Good,1,Good,43,Good,1,Good,32,Good,145805947,42.49115756,Good
India,Ghazipur,176,Unhealthy,4,Good,93,Moderate,5,Good,176,Unhealthy,1417173173,152.5597283,Unhealthy
Philippines,Dalipuga,61,Moderate,1,Good,17,Good,3,Good,61,Moderate,114337000,60.52974504,Moderate
Poland,Darlowo,35,Good,1,Good,35,Good,0,Good,23,Good,38268000,52.46015424,Moderate
India,Daund,159,Unhealthy,2,Good,33,Good,6,Good,159,Unhealthy,1417173173,152.5597283,Unhealthy
United States of America,Delray Beach,36,Good,1,Good,36,Good,0,Good,22,Good,332915073,59.61860625,Moderate
United States of America,Derby,51,Moderate,1,Good,48,Good,2,Good,51,Moderate,332915073,59.61860625,Moderate
Brazil,Descalvado,60,Moderate,1,Good,27,Good,0,Good,60,Moderate,214326223,44.64993726,Good
Nepal,Dharan,101,Unhealthy for Sensitive Groups,3,Good,33,Good,2,Good,101,Unhealthy for Sensitive Groups,30666598,116.3636364,Unhealthy for Sensitive Groups
India,Dhaulpur,171,Unhealthy,4,Good,50,Good,7,Good,171,Unhealthy,1417173173,152.5597283,Unhealthy
India,Dhrangadhra,150,Unhealthy,1,Good,29,Good,1,Good,150,Unhealthy,1417173173,152.5597283,Unhealthy
Netherlands,Diemen,38,Good,0,Good,38,Good,0,Good,30,Good,17442000,38.15282392,Good
Belgium,Diest,53,Moderate,1,Good,38,Good,1,Good,53,Moderate,11736000,44.58098592,Good
Germany,Dietzenbach,61,Moderate,1,Good,61,Moderate,0,Good,60,Moderate,83237000,48.24684015,Good
France,Dinard,45,Good,1,Good,30,Good,3,Good,45,Good,67842000,53.23133415,Moderate
United Republic of Tanzania,Dodoma,21,Good,0,Good,21,Good,0,Good,18,Good,67738000,31.65367965,Good
Italy,Domodossola,83,Moderate,1,Good,39,Good,0,Good,83,Moderate,60367477,61.69844358,Moderate
Brazil,Dracena,50,Good,1,Good,23,Good,0,Good,50,Good,214326223,44.64993726,Good
Norway,Drobak,45,Good,1,Good,45,Good,0,Good,15,Good,5000000,33.77419355,Good
United States of America,Dublin,43,Good,1,Good,41,Good,1,Good,43,Good,332915073,59.61860625,Moderate
Belgium,Duffel,51,Moderate,1,Good,38,Good,2,Good,51,Moderate,11736000,44.58098592,Good
United Kingdom of Great Britain and Northern Ireland,Dundee,38,Good,1,Good,38,Good,0,Good,29,Good,67532000,39.5971897,Good
United States of America,Eagan,52,Moderate,1,Good,32,Good,1,Good,52,Moderate,332915073,59.61860625,Moderate
United States of America,East Brainerd,58,Moderate,1,Good,58,Moderate,0,Good,19,Good,332915073,59.61860625,Moderate
United States of America,East Hartford,51,Moderate,1,Good,46,Good,2,Good,51,Moderate,332915073,59.61860625,Moderate
Japan,Ebina,73,Moderate,1,Good,32,Good,9,Good,73,Moderate,123294513,51.57201646,Moderate
United Kingdom of Great Britain and Northern Ireland,Eccles,37,Good,1,Good,36,Good,1,Good,37,Good,67532000,39.5971897,Good
Germany,Edewecht,39,Good,1,Good,39,Good,0,Good,30,Good,83237000,48.24684015,Good
Germany,Edingen Neckarhausen,62,Moderate,1,Good,60,Moderate,0,Good,62,Moderate,83237000,48.24684015,Good
Spain,El Ejido,38,Good,1,Good,38,Good,0,Good,37,Good,47300000,38.67356322,Good
Mexico,El Mante,54,Moderate,1,Good,29,Good,0,Good,54,Moderate,126190788,89.11260504,Moderate
Honduras,El Paraiso,29,Good,1,Good,17,Good,0,Good,29,Good,9000000,63.24137931,Moderate
Honduras,El Progreso,76,Moderate,1,Good,22,Good,0,Good,76,Moderate,9000000,63.24137931,Moderate
Spain,El Vendrell,46,Good,1,Good,46,Good,0,Good,45,Good,47300000,38.67356322,Good
Russian Federation,Elban,172,Unhealthy,15,Good,32,Good,11,Good,172,Unhealthy,145805947,42.49115756,Good
Lithuania,Elektrenai,35,Good,1,Good,35,Good,0,Good,21,Good,2700000,38.13157895,Good
Ghana,Elmina,29,Good,0,Good,23,Good,0,Good,29,Good,34000000,61.76666667,Moderate
Kazakhstan,Emba,58,Moderate,1,Good,37,Good,0,Good,58,Moderate,19632700,61.21126761,Moderate
Germany,Rothenbach,63,Moderate,1,Good,51,Moderate,0,Good,63,Moderate,83237000,48.24684015,Good
United States of America,Round Rock,28,Good,0,Good,21,Good,2,Good,28,Good,332915073,59.61860625,Moderate
United States of America,Rubidoux,109,Unhealthy for Sensitive Groups,3,Good,16,Good,19,Good,109,Unhealthy for Sensitive Groups,332915073,59.61860625,Moderate
Germany,Ruthen,54,Moderate,1,Good,43,Good,0,Good,54,Moderate,83237000,48.24684015,Good
India,Sadri,154,Unhealthy,1,Good,32,Good,1,Good,154,Unhealthy,1417173173,152.5597283,Unhealthy
Russian Federation,Safonovo,37,Good,1,Good,37,Good,0,Good,15,Good,145805947,42.49115756,Good
Russian Federation,Sagopshi,44,Good,1,Good,44,Good,1,Good,32,Good,145805947,42.49115756,Good
France,Saint Malo,40,Good,1,Good,31,Good,3,Good,40,Good,67842000,53.23133415,Moderate
Pakistan,Sakrand,149,Unhealthy for Sensitive Groups,1,Good,23,Good,1,Good,149,Unhealthy for Sensitive Groups,240485658,178.7045455,Unhealthy
Canada,Salaberry De Valleyfield,37,Good,1,Good,26,Good,0,Good,37,Good,38067000,42.90344828,Good
Italy,Salemi,57,Moderate,1,Good,57,Moderate,0,Good,56,Moderate,60367477,61.69844358,Moderate
Brazil,Salgueiro,20,Good,0,Good,20,Good,0,Good,15,Good,214326223,44.64993726,Good
Russian Federation,Samara,40,Good,1,Good,40,Good,2,Good,25,Good,145805947,42.49115756,Good
India,Sambalpur,157,Unhealthy,2,Good,72,Moderate,1,Good,157,Unhealthy,1417173173,152.5597283,Unhealthy
India,Sambhal,164,Unhealthy,5,Good,33,Good,9,Good,164,Unhealthy,1417173173,152.5597283,Unhealthy
India,Sonamura,102,Unhealthy for Sensitive Groups,3,Good,12,Good,8,Good,102,Unhealthy for Sensitive Groups,1417173173,152.5597283,Unhealthy
Denmark,Sonderborg,42,Good,1,Good,42,Good,0,Good,23,Good,5778000,38.078125,Good
Germany,Spaichingen,61,Moderate,1,Good,51,Moderate,0,Good,61,Moderate,83237000,48.24684015,Good
United States of America,Spencer,48,Good,1,Good,43,Good,1,Good,48,Good,332915073,59.61860625,Moderate
Croatia,Split,93,Moderate,1,Good,44,Good,0,Good,93,Moderate,4000000,59,Moderate
Netherlands,Stadskanaal,37,Good,0,Good,37,Good,0,Good,31,Good,17442000,38.15282392,Good
Uzbekistan,Stantsiya Gorchakovo,125,Unhealthy for Sensitive Groups,1,Good,38,Good,9,Good,125,Unhealthy for Sensitive Groups,31000000,119.0862069,Unhealthy for Sensitive Groups
United States of America,Statesville,48,Good,1,Good,48,Good,1,Good,19,Good,332915073,59.61860625,Moderate
Germany,Stein,62,Moderate,1,Good,52,Moderate,0,Good,62,Moderate,83237000,48.24684015,Good
Russian Federation,Stroitel,46,Good,1,Good,38,Good,0,Good,46,Good,145805947,42.49115756,Good
Republic of North Macedonia,Strumica,64,Moderate,1,Good,46,Good,0,Good,64,Moderate,2067000,66.7826087,Moderate
Spain,Sueca,36,Good,1,Good,36,Good,0,Good,20,Good,47300000,38.67356322,Good
Japan,Sugito,82,Moderate,1,Good,26,Good,18,Good,82,Moderate,123294513,51.57201646,Moderate
India,Sumbal,152,Unhealthy,3,Good,37,Good,3,Good,152,Unhealthy,1417173173,152.5597283,Unhealthy
Japan,Sumoto,72,Moderate,2,Good,22,Good,10,Good,72,Moderate,123294513,51.57201646,Moderate
